incubator,location,incubee,current_incubatees,graduated_incubatees
Startup Mahakumbh,Nicobars Andaman and Nicobar Islands,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.67bda665e4b0c167e9f98e43.html,12,12
Startup Mahakumbh,Nicobars Andaman and Nicobar Islands,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.67bda4b3e4b0c167e9f98d39.html,12,12
Startup Mahakumbh,Nicobars Andaman and Nicobar Islands,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.67bd8ea2e4b0c167e9f97990.html,0,0
Startup Mahakumbh,Nicobars Andaman and Nicobar Islands,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.67bd7b51e4b0c167e9f96980.html,0,0
startup mahakumbh grand challenge,New Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.67bc5d28e4b0b57bb29f619a.html,0,0
BioNEST DMIHER,Nagpur Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.675189a5e4b0953e58b0b2df.html,0,0
Sahyadri Rural Development Foundation,Nashik Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.67402128e4b038b18cd2568d.html,0,0
CVRU iTBI,Bilaspur Chhattisgarh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6731a814e4b017491c4e4f0e.html,0,0
AmpliNxt incubator,Pune Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.672dc7cbe4b0f06895352c09.html,0,0
Technology Innovation Foundation of IIT Palakkad,Palakkad Kerala,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.671b4e45e4b0bbf338c338aa.html,23,7
Vety and Livestock Innovation and Incubation Foundation (VLIIF),Sangrur Punjab,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.67174bfde4b0a63a47896c12.html,0,0
DBATU FORUM OF INNOVATION INCUBATION & ENTERPRISE (DFIIE),Raigad Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.67164ec7e4b005845491520d.html,0,0
PUNJAB BIOTECHNOLOGY INCUBATOR,Mohali Punjab,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6710aee7e4b09e4189b077d9.html,0,0
TBIGEU,Dehradun Uttarakhand,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.670e2e60e4b0f12ecfe4ef8f.html,12,75
Dholakia Incub8 Foundation,Surat Gujarat,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.66fa6ea1e4b0f06e1bb05984.html,10,2
V-NEST VIT CHENNAI STARTUP AND RESEARCH FOUNDATION,Chennai Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.66f2a090e4b003d3e19d20b9.html,0,0
UPID Noida Innovation and Incubation Foundation,Gautam Buddha Nagar Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.66e16f51e4b0574f4f896b0c.html,10,1
Santosh Startups Forum,Ghaziabad Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.66e168cce4b0574f4f894dea.html,16,5
Unigoa Knowledge and Innovation Foundation,Panaji Goa,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.66dfe683e4b0da161d5c20de.html,0,0
JS Innovations,Firozabad Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.66dab0f7e4b0da161d5b3514.html,0,0
FOUV Innovation Foundation,Palwal Haryana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.66d71ef4e4b0da161d5a5b02.html,5,8
MERI StartupHub,South West Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.66d5d9bfe4b0da161d5a0a0b.html,0,0
Gyan Ganga Genesis Incubation Center,Jabalpur Madhya Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.66d0171be4b0da161d583ca5.html,0,0
Vsure Investment Affairs Private Limited,Navi Mumbai Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.66cfe59ee4b0da161d58297e.html,15,4
IHub-Data Foundation,Hyderabad Telangana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.66cf0067e4b0da161d580587.html,10,20
AICRAISE,Coimbatore Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.66cedcf2e4b0da161d57f1ba.html,84,30
Visvesvaraya Research and Innovation Foundation,Belagavi Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.66c9bf5be4b0da161d57110f.html,11,9
OASME Council for Engineering and Technology,Cuttack Odisha,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.66c88640e4b0da161d56e0ea.html,10,5
CoE-Efficiency Augmentation,Bengaluru Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.66c851d1e4b0da161d56ccb5.html,0,0
Arifa Innovation and Incubation Council,Nagapattinam Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.66bb2ec6e4b0c0e46a159dbc.html,3,1
TiHAN IIT Hyderabad,Hyderabad Telangana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.66b9af27e4b0d0594ef18242.html,0,0
Geenovate Foundation,Hyderabad Telangana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.66b5b7fce4b0557536cd557e.html,4,1
NSUTEC IRF,East Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.66b0a92be4b0ec4eca359670.html,10,6
SAGE Foundation (UnLtd India),Mumbai Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.66a89fcce4b07936b4718b2c.html,363,350
Karmaveer Bhaurao Patil Research Foundation,Satara Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.66a76eb6e4b07936b4715007.html,0,0
United Incubation Hub,Allahabad Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.66a4a7ade4b07936b470e404.html,0,0
Oasys Institute of Technology,Tiruchirappalli Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.66a24aa8e4b07936b4707e06.html,5,5
Manav Bharti Foundation,Sirohi Rajasthan,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.66a22b7de4b07936b47071a8.html,12,4
Central University of Punjab Research and Development Foundation,Bathinda Punjab,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.66a22472e4b07936b4706f3a.html,0,0
SAMIRAN MITRA (CSVTU-FORTE),Bhilai Nagar Chhattisgarh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.66a0b555e4b07936b47007e0.html,0,0
Foundation for Technology and Entrepreneurial Ecosystems,Vijayapura Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.66a095b2e4b07936b46ff9db.html,12,21
NFSU RESEARCH AND INNOVATION COUNCIL,Gandhinagar Gujarat,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.669e1ef5e4b07936b46f5b67.html,14,2
Aarambh Incubation center,Ahmedabad Gujarat,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.669df5fce4b07936b46f42aa.html,30,2
CDIIC - CODISSIA DEFENCE INNOVATION AND ATAL INCUBATION CENTRE,Coimbatore Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.669deb52e4b07936b46f3c5d.html,43,4
STPI - EmTek CoE,Bhubaneswar Odisha,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.669b9501e4b07936b46ecd61.html,0,0
RECM Innovation Center Foundation,Mainpuri Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6698e5a2e4b07936b46e0267.html,56,50
build3,North Goa Goa,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.66961034e4b07936b46cef32.html,26,4
IROLLER CAPITAL PRIVATE LIMITED,Ahmedabad Gujarat,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.66950763e4b07936b46cc882.html,10,3
TDIC-CSIRIITR,Lucknow Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6694f96ee4b07936b46cc1f8.html,11,18
Laxminarayan Baviskar,Nashik Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6694afd8e4b01cb6e0d02b93.html,0,0
fmutbi,Baleswar Odisha,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.66921e7de4b01cb6e0cfd782.html,5,2
IIM Shillong Foundation for Incubation and Enterprises,East Khasi Hills Meghalaya,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.668e2c9de4b014c9a9a223c2.html,1,7
ICFAI Incubator,Hyderabad Telangana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6686406de4b058f8fde87b06.html,25,10
Centre for Innovation Incubation and Entrepreneurship,South Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6683e4d2e4b05ec08d2240e9.html,15,6
Atal Incubation Centre Guru Gobind Singh Indraprastha University,New Delhi Delhi,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6682a6a1e4b05a5f46dee5ee.html,0,0
Innovation and Incubation Hub MNNIT Foundation,Allahabad Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.667e5e69e4b0954521651b57.html,0,0
CoE in Efficiency Augmentation,Bengaluru Urban Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.667bfca0e4b03320a747e4dc.html,0,0
Kalinga Incubation Foundation,Raipur Chhattisgarh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.667bf133e4b03320a747e024.html,2,1
IoTOpenLabBengaluru,Bengaluru Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.667bc39ee4b03320a747ce8e.html,75,1
Amity Innovation Incubator Lucknow,Lucknow Uttar Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.667a76aee4b0ecbc9c2f8c13.html,54,10
DR BANSI DHAR INCUBATION CENTER,Gurugram Haryana,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.66790d43e4b0facc95a6a64e.html,0,0
GRG Gen Nxt Foundation,Coimbatore Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.667696dae4b0facc95a6601e.html,0,0
TIH Foundation for IoT & IoE,Mumbai Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6674061fe4b0d5f6c8bc41cb.html,55,16
SREC SPARK INCUBATION FOUNDATION,Coimbatore Tamil Nadu,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6673fcede4b0d5f6c8bc3d6e.html,13,2
SASI CIE,Tadepalligudem Andhra Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6673f1a7e4b0d5f6c8bc38ce.html,8,2
AIC STPINEXT INITIATIVES BENGALURU,Bengaluru Urban Karnataka,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.667118cbe4b09f055b632047.html,46,2
FASAL Centre of Entrepreneurship,Akola Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.666c0cfbe4b0bd5d3c2dcf00.html,27,10
Assam Startup,Guwahati Assam,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6666d687e4b0bd5d3c2bdda9.html,234,255
NETRARIT FOUNDATION,Uran Islampur Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6666cc63e4b0bd5d3c2bd88b.html,25,10
Bhubaneswar City Knowledge Innovation Cluster Foundation,Bhubaneswar Odisha,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6662b4d5e4b064981a553e25.html,25,6
IIM Jammu,Srinagar Jammu and Kashmir,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.665ea7c4e4b064981a52e4b5.html,20,60
IDEAS - Institute of Data Engineering Analytics and Science Foundation,Kolkata West Bengal,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6654b0e6e4b0608c0b189be0.html,0,0
Innovation and Incubation Centre for Entrepreneurship,Bhopal Madhya Pradesh,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.665082e0e4b0608c0b17dee8.html,9,2
Swami Technical and Development Foundation,Ahmednagar Maharashtra,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.66485cb9e4b0608c0b165df4.html,10,10
GNLU Legal Incubation Council,Gandhinagar Gujarat,https://www.startupindia.gov.in/content/sih/en/profile.Incubator.6645d1fce4b0608c0b15fe51.html,0,0
